movie_production_year,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name
2006,14000000,11205901,9355005,1/1/2006,Dramatization,Based on Real Life Events,Live Action,Drama
2010,14000000,20249621,1155265,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2014,14000000,3958546,21228480,1/1/2014,Dramatization,Based on Real Life Events,Live Action,Drama
2009,14000000,47185,87787,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Drama
2006,14200000,74205,469101,1/1/2006,Historical Fiction,Original Screenplay,Live Action,Drama
2015,14500000,66013057,51800000,1/1/2015,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2010,14500000,7691700,17788331,1/1/2010,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2010,15000000,20218921,383066,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Drama
2003,15000000,8586376,6347337,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2008,15000000,73548,1516698,1/1/2008,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2011,15000000,35060689,42994136,1/1/2011,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action
2014,15000000,25018119,9802216,1/1/2014,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2008,15000000,6409528,2357810,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2010,15000000,123570,7761478,1/1/2010,Historical Fiction,Original Screenplay,Live Action,Action
2015,15000000,3703046,11244197,1/1/2015,Fantasy,Original Screenplay,Live Action,Comedy
2012,15000000,41003371,16583235,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2003,15000000,42672630,12800000,1/1/2003,Contemporary Fiction,Based on TV,Live Action,Comedy
2006,15000000,56441711,72444162,1/1/2006,Dramatization,Based on Real Life Events,Live Action,Drama
2006,15000000,47860214,19355221,1/1/2006,Contemporary Fiction,Remake,Live Action,Horror
2007,15000000,55204525,729653,1/1/2007,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy
2002,15000000,11660180,759520,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Drama
2011,15000000,7597898,1702438,1/1/2011,Historical Fiction,Original Screenplay,Live Action,Drama
2005,15000000,23089926,64900000,1/1/2005,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2007,15000000,4604982,61091069,1/1/2007,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2012,15000000,71628180,76467386,1/1/2012,Fantasy,Based on Short Film,Live Action,Horror
2001,15000000,37882551,24518792,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2002,15000000,19161999,182616,1/1/2002,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2009,15000000,6380019,181224,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2008,15000000,1294640,6905487,1/1/2008,Contemporary Fiction,Remake,Live Action,Thriller/Suspense
2014,15000000,35893537,86254235,1/1/2014,Dramatization,Based on Factual Book/Article,Live Action,Drama
2007,15000000,28637507,35593798,1/1/2007,Science Fiction,Original Screenplay,Live Action,Horror
