"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"16",608331,"Fried, Max","2021-06-06","92","17.4","0.400","0.000","0.400","0.400","0.352","0.364","0.380","2","5","77.1","-2.2","2286","89.3","89.77","1","12","4","0.5","6.34","111","151","118","150","319","309","275"
"16",608331,"Fried, Max","2021-07-17","96","16.7","0.250","0.000","0.333","0.250","0.220","0.144","0.133","1","4","91.8","-5.0","2220","86.0","86.27","2","7","9","0.3","6.36","97","149","130","150","313","322","288"
"16",608331,"Fried, Max","2021-07-28","106","15.1","0.000","0.000","0.000","0.000","0.000","0.121","0.114","0","3","92.3","20.0","2396","85.8","85.79","2","6","10","0.0","6.24","113","155","145","150","307","348","299"
"16",608331,"Fried, Max","2021-09-01","99","16.2","0.000","0.000","0.000","0.000","0.173","0.309","0.201","0","3","96.7","8.0","2244","85.7","85.48","2","5","11","-0.2","6.08","98","149","118","147","301","320","289"
"15",543135,"Eovaldi, Nathan","2021-04-19","100","15.0","0.250","0.000","0.333","0.250","0.220","0.375","0.386","1","4","93.1","6.7","2149","88.9","89.55","2","6","9","0.7","6.57","113","168","135","152","283","312","307"
"15",592836,"Walker, Taijuan","2021-06-20","85","17.6","0.333","0.000","0.500","0.333","0.293","0.336","0.342","1","3","96.2","1.5","2108","89.2","89.17","2","10","5","0.0","5.97","98","148","111","146","319","323","306"
"15",621111,"Buehler, Walker","2021-08-08","95","15.8","0.000","0.000","0.000","0.000","0.173","0.300","0.151","0","3","85.0","46.0","2574","88.7","89.01","4","7","8","0.3","6.30","110","160","119","151","298","317","298"
"15",608331,"Fried, Max","2021-09-19","99","15.2","0.250","0.000","0.500","0.250","0.220","0.252","0.264","1","4","75.8","4.5","2444","79.4","79.15","2","7","8","-0.2","6.24","104","154","123","149","303","322","284"
"15",592836,"Walker, Taijuan","2021-08-08","89","16.9","0.250","0.750","0.000","1.000","0.502","0.432","0.332","1","4","94.0","8.3","2012","90.2","89.73","0","8","7","-0.5","6.06","124","158","113","152","285","324","292"
"15",543135,"Eovaldi, Nathan","2021-06-26","109","13.8","0.500","0.000","0.667","0.500","0.440","0.305","0.307","2","4","80.3","-21.0","2185","90.0","90.78","1","7","8","0.8","6.69","112","148","116","146","286","327","303"
